,city,state,city_size,mode,n,percent,moe,state_abb,state_region
0,Aberdeen city,South Dakota,Small,Bike,110,0.8,0.5,SD,North Central
1,Acworth city,Georgia,Small,Bike,0,0.0,0.4,GA,South
2,Addison village,Illinois,Small,Bike,43,0.2,0.3,IL,North Central
3,Adelanto city,California,Small,Bike,0,0.0,0.5,CA,West
4,Adrian city,Michigan,Small,Bike,121,1.5,1.0,MI,North Central
5,Agawam Town city,Massachusetts,Small,Bike,0,0.0,0.2,MA,Northeast
6,Agoura Hills city,California,Small,Bike,84,0.8,1.1,CA,West
7,Aiken city,South Carolina,Small,Bike,23,0.2,0.3,SC,South
8,Alabaster city,Alabama,Small,Bike,0,0.0,0.2,AL,South
9,Alameda city,California,Small,Bike,576,1.5,0.4,CA,West
10,Alamogordo city,New Mexico,Small,Bike,35,0.3,0.2,NM,West
11,Albany city,Georgia,Small,Bike,77,0.3,0.2,GA,South
12,Albany city,New York,Small,Bike,419,0.9,0.3,NY,Northeast
13,Albany city,Oregon,Small,Bike,281,1.3,0.6,OR,West
14,Albertville city,Alabama,Small,Bike,2,0.0,0.1,AL,South
15,Alexandria city,Louisiana,Small,Bike,100,0.5,0.3,LA,South
16,Algonquin village,Illinois,Small,Bike,109,0.7,0.6,IL,North Central
17,Alhambra city,California,Small,Bike,198,0.5,0.2,CA,West
18,Aliso Viejo city,California,Small,Bike,85,0.3,0.2,CA,West
19,Allen city,Texas,Small,Bike,21,0.0,0.1,TX,South
20,Allen Park city,Michigan,Small,Bike,55,0.5,0.4,MI,North Central
21,Alliance city,Ohio,Small,Bike,19,0.2,0.2,OH,North Central
22,Alpharetta city,Georgia,Small,Bike,0,0.0,0.1,GA,South
23,Altamonte Springs city,Florida,Small,Bike,282,1.3,0.7,FL,South
24,Alton city,Illinois,Small,Bike,10,0.1,0.1,IL,North Central
25,Altoona city,Pennsylvania,Small,Bike,33,0.2,0.2,PA,Northeast
26,Alvin city,Texas,Small,Bike,127,1.2,0.7,TX,South
27,American Fork city,Utah,Small,Bike,32,0.3,0.3,UT,West
