"LEAID	LEA_NAME	ST	d_Locale_Txt	SCHOOL_YEAR	AIAN	Asian	Black	Hispanic	White	Total	diverse	usa_state_latitude	usa_state_longitude	usa_state"
"100005	albertville city	AL	town-distant	1994-1995	0.0	0.320718409	1.282873637	4.52212957	93.87427838	3118	Extremely undiverse	32.318231	-86.902298	Alabama"
"100005	albertville city	AL	town-distant	2016-2017	0.293739673	0.550761887	3.194418946	46.7413255	46.77804296	5447	Diverse	32.318231	-86.902298	Alabama"
"100006	marshall county	AL	rural-distant	1994-1995	0.10436857	0.134188162	0.372744893	0.90949754	98.47920083	6707	Extremely undiverse	32.318231	-86.902298	Alabama"
"100006	marshall county	AL	rural-distant	2016-2017	0.492350976	0.298927378	1.072621769	21.29417971	75.80446633	5687	Undiverse	32.318231	-86.902298	Alabama"
"100007	hoover city	AL	city-small	1994-1995	0.06518055	1.603441533	6.035718941	0.547516621	91.74814235	7671	Extremely undiverse	32.318231	-86.902298	Alabama"
"100007	hoover city	AL	city-small	2016-2017	0.093270197	6.679581002	24.68072894	7.755775578	56.70110489	13938	Diverse	32.318231	-86.902298	Alabama"
"100008	madison city	AL	suburban-large	2016-2017	0.593869732	8.917624521	20.37356322	5.114942529	60.69923372	10440	Diverse	32.318231	-86.902298	Alabama"
"100011	leeds city	AL	suburban-large	2016-2017	0.304105423	1.064368981	23.01064369	12.46832235	60.61834769	1973	Diverse	32.318231	-86.902298	Alabama"
"100012	boaz city	AL	town-distant	2016-2017	0.502302219	1.17203851	1.967350356	29.76140645	63.75052323	2389	Diverse	32.318231	-86.902298	Alabama"
"100013	trussville city	AL	suburban-large	2016-2017	0.330469266	1.960784314	11.76470588	1.54218991	81.60387751	4539	Undiverse	32.318231	-86.902298	Alabama"
"100030	alexander city	AL	town-distant	1994-1995	0.0	0.184794087	36.74762408	0.184794087	62.88278775	3788	Diverse	32.318231	-86.902298	Alabama"
"100030	alexander city	AL	town-distant	2016-2017	0.0	1.080196399	40.0	6.677577741	50.11456628	3055	Diverse	32.318231	-86.902298	Alabama"
"100060	andalusia city	AL	town-remote	1994-1995	0.191296031	0.143472023	24.53371593	0.095648015	75.03586801	2091	Undiverse	32.318231	-86.902298	Alabama"
"100060	andalusia city	AL	town-remote	2016-2017	0.172018349	1.662844037	30.56192661	2.236238532	62.90137615	1744	Diverse	32.318231	-86.902298	Alabama"
"100090	anniston city	AL	city-small	1994-1995	0.027901786	0.334821429	80.94308036	0.725446429	17.96875	3584	Undiverse	32.318231	-86.902298	Alabama"
"100090	anniston city	AL	city-small	2016-2017	0.0	0.193330111	90.23682939	3.624939584	4.639922668	2069	Extremely undiverse	32.318231	-86.902298	Alabama"
"100100	arab city	AL	rural-fringe	1994-1995	0.15980823	0.239712345	0.0	0.15980823	99.44067119	2503	Extremely undiverse	32.318231	-86.902298	Alabama"
"100100	arab city	AL	rural-fringe	2016-2017	0.344563553	1.339969372	0.153139357	2.565084227	94.48698315	2612	Extremely undiverse	32.318231	-86.902298	Alabama"
"100120	athens city	AL	town-fringe	1994-1995	0.171526587	0.823327616	24.87135506	1.063464837	73.0703259	2915	Diverse	32.318231	-86.902298	Alabama"
